Soil,Status,time,G12,G12init,G13,G13init,CO212,CO213,DOC12,DOC13,DOC12init,DOC13init,WOC12,WOC13,WOC12init,WOC13init,Cmic12,Cmic13,Cmic12init,Cmic13init,OA12,OA13,OA12init,OA13init
PL,A,0.1,72.3,97.7,2,2.7,0.7,0,22.1,0.242764998,22.1,0.242764998,40.88404694,0.410932565,40.88404694,0.410932565,55.08784,0.606620603,55.08784,0.606620603,0.17,0,0.17,0
PL,A,12,14,97.7,0.4,2.7,22.1,0.5,,,22.1,0.242764998,,,40.88404694,0.410932565,,,55.08784,0.606620603,,,0.17,0
PL,A,24,0.3,97.7,0,2.7,36.1,0.9,21.20496179,0.232933145,22.1,0.242764998,39.97202054,0.402695128,40.88404694,0.410932565,64.7691,1.039313438,55.08784,0.606620603,0.39,0.01,0.17,0
PL,A,48,0.2,97.7,0,2.7,50.3,1.1,19.46805903,0.213853544,22.1,0.242764998,36.24082083,0.364930197,40.88404694,0.410932565,68.172,1.034505939,55.08784,0.606620603,0.38,0.01,0.17,0
PL,A,72,0,97.7,0,2.7,61.3,1.3,19.662,0.220622557,22.1,0.242764998,39.42355518,0.396576931,40.88404694,0.410932565,65.72176,0.983821098,55.08784,0.606620603,0.74,0.02,0.17,0
CT,A,0.1,64,89,1.8,2.5,0.5,0,18.577,0.203394527,18.577,0.203394527,41.72251931,0.419872643,41.72251931,0.419872643,57.29944,0.629035465,57.29944,0.629035465,0.16,0,0.17,0
CT,A,12,29.7,89,0.8,2.5,10.3,0.2,,,18.577,0.203394527,,,41.72251931,0.419872643,,,57.29944,0.629035465,,,0.17,0
CT,A,24,5.3,89,0.1,2.5,20.8,0.5,21.62838926,0.236803359,18.577,0.203394527,42.68790875,0.498453691,41.72251931,0.419872643,66.4981,1.111746074,57.29944,0.629035465,0.1,0,0.17,0
CT,A,48,0.2,89,0,2.5,37.9,0.9,18.05476931,0.197676765,18.577,0.203394527,37.8867131,0.382826727,41.72251931,0.419872643,83.44838,1.293908897,57.29944,0.629035465,0.53,0.01,0.17,0
CT,A,72,0,89,0,2.5,44.5,1.1,17.284,0.192267099,18.577,0.203394527,39.7703798,0.400836396,41.72251931,0.419872643,77.85516,1.184211053,57.29944,0.629035465,0.44,0.01,0.17,0
PL,N,0.1,78,105.3,2.1,2.9,0.2,0,,,,,,,,,,,,,4.9,0.06,5.34,0.06
PL,N,12,74.4,105.3,2,2.9,1.8,0,,,,,,,,,,,,,,,5.34,0.06
PL,N,24,77.4,105.3,2.1,2.9,2.4,0,,,,,,,,,,,,,5.27,0.09,5.34,0.06
PL,N,48,72.2,105.3,2,2.9,4.1,0.1,,,,,,,,,,,,,6.58,0.11,5.34,0.06
PL,N,216,46.5,105.3,1.3,2.9,10.4,0.2,,,,,,,,,,,,,10.79,0.19,5.34,0.06
CT,N,0.1,63.8,88.6,1.8,2.4,0.2,0,,,,,,,,,,,,,0.41,0,0.34,0
CT,N,12,62.4,88.6,1.7,2.4,1.7,0,,,,,,,,,,,,,,,0.34,0
CT,N,24,58.6,88.6,1.6,2.4,3.3,0.1,,,,,,,,,,,,,1.48,0.03,0.34,0
CT,N,48,52.1,88.6,1.4,2.4,4.9,0.1,,,,,,,,,,,,,2.57,0.05,0.34,0
CT,N,216,19.8,88.6,0.5,2.4,12.8,0.3,,,,,,,,,,,,,15.6,0.34,0.34,0
