time,DOC,Cmic,r
0.0,,89.6,
0.0,,90.5,
0.0,,94.0,
0.0,,93.1,
0.0,,94.8,
8.0,236.3,99.5,2.6
8.0,222.6,110.4,2.6
8.0,220.8,109.5,2.6
8.0,220.8,107.7,2.3
8.0,218.1,107.7,
16.0,125.0,119.5,3.5
16.0,118.6,125.9,3.4
16.0,117.7,124.1,3.3
16.0,117.7,120.4,3.1
16.0,116.8,119.5,
24.0,54.7,141.7,3.9
24.0,53.8,139.8,3.9
24.0,50.2,140.7,3.9
24.0,50.2,140.7,3.9
24.0,48.4,140.6,
48.0,52.9,126.7,1.1
48.0,52.0,126.7,1.2
48.0,47.4,131.2,1.1
48.0,46.5,130.3,1.1
48.0,45.6,120.9,
72.0,48.4,133.1,0.8
72.0,47.4,129.4,0.8
72.0,47.4,123.7,0.8
72.0,45.6,123.7,0.8
72.0,43.8,124.6,
