Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
1,1,0.0,O,NE,0,1,73.8,0.41,0.33,3.37,66.7,4.4,88.0,7.9,358.1,45.7,5.5,20.0,,,,,,,0.0,0.0,0.0108,0.0108,,0.68,,,,,1.93,0.23,0.04,0.04,2.27,2.59,0.31,5.02,0.53,0.04,0.01,0.03,0.04,0.00,0.07,0.09,0.752883955,0.100772364,1.779010126,0.04480934,0.185219152,1.025498583
2,0.75,0.3,O,NE,0,2,69.8,0.39,0.32,3.32,60.9,6.3,82.8,10.0,279.2,35.8,5.6,20.2,,,,,,,0.0,0.0,0.0108,0.0108,,0.59,,,,,3.24,0.21,0.03,0.03,2.80,3.80,0.30,5.94,0.56,0.03,0.01,0.02,0.04,0.00,0.08,0.12,0.588424842,0.117501115,1.25517719,0.037931466,0.26381991,0.994841649
3,0.5,0.5,O,NE,0,3,65.8,0.38,0.31,3.28,59.0,7.6,84.0,10.4,275.6,37.2,6.6,19.8,,,,,,,0.0,0.0,0.0108,0.0108,,0.59,,,,,5.00,0.17,0.03,0.11,2.38,5.26,0.29,4.84,0.66,0.02,0.01,0.02,0.04,0.00,0.10,0.13,0.450401049,0.046556879,1.492657486,0.03417404,0.253084979,0.806520481
4,0.25,0.8,O,NE,0,4,61.8,0.36,0.30,3.23,51.0,9.2,93.5,14.7,252.4,33.5,5.3,18.4,,,,,,,0.0,0.0,0.0108,0.0108,,0.55,,,,,6.12,0.19,0.04,0.05,2.85,7.87,0.29,6.51,0.72,0.02,0.00,0.03,0.02,0.00,0.11,0.11,0.613019953,0.062107689,2.247551558,0.057015532,0.358492307,0.990462087
5,0,1.0,O,NE,0,5,57.8,0.35,0.29,3.18,53.9,9.5,89.5,15.4,222.7,30.9,5.1,17.2,,,,,,,0.0,0.0,0.0108,0.0108,,0.52,,,,,7.47,0.15,0.04,0.04,1.92,8.90,0.27,6.24,0.73,0.02,0.00,0.02,0.02,0.00,0.11,0.08,0.451173471,0.033476825,1.428366387,0.013869311,0.283900782,1.1043307
6,1,0.0,O,NE,0,1,73.8,0.41,0.33,3.12,56.3,2.8,80.1,5.7,213.7,24.7,6.7,16.6,,,,,,,0.0,0.0,0.0108,0.0108,,0.60,,,,,0.68,0.12,0.04,0.06,2.04,1.23,0.24,4.22,0.63,0.02,0.01,0.02,0.04,0.00,0.10,0.04,0.527275008,0.056997598,1.056050246,0.015892935,0.272086017,0.810900043
7,0.75,0.3,O,NE,0,2,69.8,0.40,0.33,3.04,51.9,4.6,78.6,7.6,206.2,23.3,5.2,14.5,,,,,,,0.0,0.0,0.0108,0.0108,,0.57,,,,,1.96,0.22,0.03,0.05,2.43,2.57,0.32,4.72,0.56,0.03,0.00,0.02,0.03,0.00,0.13,0.07,0.728127203,0.077148348,1.464962245,0.007769251,0.35713225,0.964184714
8,0.5,0.5,O,NE,0,3,65.8,0.40,0.32,2.95,47.9,5.6,72.8,8.0,176.9,21.5,4.2,13.1,,,,,,,0.0,0.0,0.0108,0.0108,,0.57,,,,,2.52,0.38,0.04,0.05,2.66,3.08,0.59,4.28,0.33,0.03,0.01,0.02,0.03,0.00,0.09,0.15,0.73009787,0.080246094,1.115170062,0.00093328,0.256195,1.117469386
9,0.25,0.8,O,NE,0,4,61.8,0.39,0.32,2.87,34.3,5.2,68.2,9.4,168.2,19.9,4.4,11.3,,,,,,,0.0,0.0,0.0108,0.0108,,0.55,,,,,3.35,0.39,0.03,0.04,1.50,4.71,0.57,4.12,0.30,0.03,0.01,0.02,0.02,0.00,0.11,0.12,0.794517451,0.090820829,1.367532356,0,0.206143886,1.038637269
10,0,1.0,O,NE,0,5,57.8,0.39,0.32,2.78,41.1,7.8,64.0,10.3,143.2,17.3,3.8,8.7,,,,,,,0.0,0.0,0.0108,0.0108,,0.59,,,,,4.70,0.75,0.05,0.03,2.34,4.81,0.69,4.82,0.34,0.04,0.01,0.02,0.02,0.00,0.11,0.18,1.049577576,0.153452228,1.186626279,0,0.157276054,1.069294203
11,1,0.0,O,NE,0,1,73.8,0.42,0.34,3.25,42.6,3.0,66.8,6.0,250.5,31.6,5.6,14.8,,,,,,,0.0,0.0,0.0108,0.0108,,0.77,,,,,1.25,0.14,0.03,0.05,1.60,2.17,0.10,3.69,0.47,0.08,0.03,0.03,0.03,0.00,0.09,0.17,1.716137974,0.358086198,1.993754149,0.015551003,0.359554276,1.016739459
12,0.75,0.3,O,NE,0,2,69.8,0.40,0.33,3.14,53.5,4.0,67.6,6.3,247.0,31.9,6.6,14.0,,,,,,,0.0,0.0,0.0108,0.0108,,0.70,,,,,1.77,0.17,0.03,0.04,2.01,2.25,0.24,3.80,0.68,0.08,0.02,0.03,0.03,0.00,0.09,0.20,1.69764585,0.413781134,2.037117634,0.00508401,0.272473815,0.859075225
13,0.5,0.5,O,NE,0,3,65.8,0.38,0.31,3.02,57.2,4.7,75.3,7.5,242.9,32.5,6.2,13.5,,,,,,,0.0,0.0,0.0107,0.0108,,0.68,,,,,2.03,0.22,0.02,0.03,2.45,2.44,0.31,4.72,0.70,0.08,0.03,0.04,0.03,0.00,0.17,0.13,1.946181619,0.336024077,2.739835211,0.001195329,0.233741211,0.815279605
14,0.25,0.8,O,NE,0,4,61.8,0.36,0.30,2.91,46.7,4.7,78.9,9.2,226.2,29.4,6.9,12.6,,,,,,,0.0,0.0,0.0108,0.0108,,0.65,,,,,2.05,0.21,0.02,0.03,2.45,3.01,0.41,5.83,0.72,0.04,0.01,0.02,0.02,0.00,0.14,0.15,0.976099077,0.190663743,1.538902616,0,0.126006261,0.648856247
15,0,1.0,O,NE,0,5,57.842416311,0.341836735,0.280194045,2.790000000,64.105389489,7.106194893,84.505258889,10.256479316,187.897602089,23.742086143,6.233228265,10.598578709,,,,,,,0.000000000,0.000000000,0.010778947,0.010785937,,0.633405210,,,,,2.811857799,0.275122887,0.027657386,0.037181542,4.019214207,2.694845658,0.412684330,7.148949329,0.767120582,0.028147424,0.009778176,0.019547114,0.022134798,0.000964038,0.159119354,0.128397035,0.818664036,0.135653514,1.647058520,0.000000000,0.164284971,0.732067926
16,1,0.0,O,NE,0,1,73.831684227,0.301181102,0.246869756,3.050000000,67.126247996,3.878830844,90.810722969,6.938554851,293.509028905,34.413474148,9.612820648,18.635605593,,,,,,,0.000000000,0.000000000,0.010768014,0.010786401,,0.594465164,,,,,0.869704683,0.131843529,0.038715299,0.072852776,2.877282632,1.341180228,0.236508787,5.360865837,0.923174983,0.009191131,0.002372831,0.013389546,0.033621897,0.001454369,0.086538803,0.146412695,0.265843646,0.013404318,1.183114875,0.014150434,0.337703416,0.635717561
17,0.75,0.3,O,NE,0,2,69.834367248,0.323881372,0.265476535,3.047500000,41.721276770,4.652858832,88.085595920,8.729000308,264.733455634,30.746428854,6.977992024,16.697069457,,,,,,,0.000000000,0.000000000,0.010766439,0.010791831,,0.574060400,,,,,2.612838816,0.130668827,0.019460439,0.043269581,1.909351188,3.607821889,0.288761977,4.832416442,0.864574164,0.012591508,0.002503608,0.016533066,0.028107666,0.002137614,0.079746827,0.096277489,0.347227058,0.025646081,1.301144967,0.000000000,0.325090691,0.797761357
18,0.5,0.5,O,NE,0,3,65.837050269,0.346581642,0.284083314,3.045000000,58.069242821,8.023980414,85.041919057,10.688925327,204.964986437,26.190907246,5.412221244,15.026880462,,,,,,,0.000000000,0.000000000,0.010765044,0.010793331,,0.649175561,,,,,5.009538648,0.163567542,0.031143229,0.044993887,2.850874224,5.059957317,0.285426618,5.343541392,0.722399332,0.026952326,0.006598644,0.023215991,0.027355300,0.003565731,0.081568541,0.083945147,0.731170901,0.071553631,1.840825877,0.000000000,0.595519976,0.968564276
