Sample,glu,cel,phos,leu,chit
1,0.035681084,0.009638274,0.028871171,0.043362669,0.001372788
2,0.027228666,0.005826696,0.020274492,0.038688912,0.00184771
3,0.019028993,0.005089344,0.022093883,0.035752492,0.00181343
4,0.023413839,0.003745405,0.02911662,0.023410186,0.00214495
5,0.018400595,0.004531896,0.019268228,0.022976316,0.001769918
6,0.024037774,0.00612929,0.016280142,0.035502444,0.001734639
7,0.030054618,0.004225977,0.021693278,0.028984256,0.002389791
8,0.030577243,0.007402226,0.016743726,0.028961792,0.001841142
9,0.033552401,0.005208567,0.020513593,0.021584241,0.001797923
10,0.041562654,0.012220809,0.016525073,0.022193258,0.001477658
11,0.084577098,0.033308265,0.031039778,0.034210003,0.002363075
12,0.076797786,0.016568398,0.030479335,0.030521369,0.001827221
13,0.082628169,0.026913916,0.038936396,0.027711578,0.001814016
14,0.038175052,0.008316562,0.020342173,0.02077207,0.000909445
15,0.028147424,0.009778176,0.019547114,0.022134798,0.000964038
16,0.009191131,0.002372831,0.013389546,0.033621897,0.001454369
17,0.012591508,0.002503608,0.016533066,0.028107666,0.002137614
18,0.026952326,0.006598644,0.023215991,0.0273553,0.003565731
19,0.020665934,0.003368213,0.017343475,0.020402623,0.002117879
20,0.034517355,0.011564974,0.019556732,0.021538124,0.002743815
21,0.076141536,0.015084694,0.008331349,0.023201372,0.001529418
22,0.035345927,0.014510533,0.010267817,0.024580291,0.003411794
23,0.117492472,0.023455818,0.015682621,0.023065428,0.003688541
24,0.038890115,0.018394157,0.013088374,0.023201184,0.002930205
25,0.038194467,0.020086766,0.013779128,0.023287842,0.002948723
26,0.080848508,0.013930504,0.011628566,0.023582741,0.001406077
27,0.032557557,0.010764665,0.011239858,0.022937656,0.002834861
28,0.051122073,0.009482446,0.008626779,0.023754964,0.001229808
29,0.021965438,0.007772788,0.007733704,0.023845575,0.001254091
30,0.027171608,0.009187173,0.008874085,0.024114324,0.001720924
31,0.088114736,0.018057395,0.010898209,0.022738764,0.001004271
32,0.024165142,0.011154985,0.008575425,0.027823647,0.00168726
33,0.063862651,0.012359559,0.010697327,0.024050009,0.00142837
34,0.03369586,0.012077918,0.009838062,0.022942475,0.001271827
35,0.025662536,0.006989926,0.008996645,0.022131821,0.001504613
36,0.035013895,0.004956111,0.013768693,0.021071149,0.001876592
37,0.017261826,0.006354675,0.008741976,0.026316891,0.001964574
38,0.077115525,0.013158718,0.01372957,0.022788482,0.001596513
39,0.039181086,0.018524979,0.012459321,0.022373702,0.001703972
40,0.024977718,0.00869204,0.0098506,0.02070106,0.001025384
1*,0.031501405,0.008814239,0.023017844,0.035862705,0.000887952
10*,0.049255204,0.015382545,0.019499389,0.021597505,0.002176706
11*,0.066614767,0.022386061,0.023594374,0.033792751,0.001404138
12*,0.078094733,0.015077194,0.03025923,0.027934157,0.001637474
13*,0.061446413,0.020411667,0.027968611,0.030385016,0.001294968
14*,0.03353646,0.006564959,0.020018643,0.020481241,0.001121217
15*,0.024446267,0.005981604,0.025107297,0.021191993,0.000967984
16*,0.008447186,0.002103611,0.01025986,0.034194733,0.000992278
17*,0.010428603,0.002462791,0.010565186,0.034120564,0.001251517
18*,0.013162421,0.003396494,0.015977087,0.029512539,0.001621282
19*,0.020892757,0.00333461,0.018620027,0.020232662,0.002043839
2*,0.032733602,0.006304714,0.024374235,0.029741597,0.001506578
20*,0.039704507,0.012191246,0.022853361,0.020833798,0.00318574
21*,0.097337483,0.01502861,0.0132075,0.022069648,0.001988767
22*,0.027707539,0.012153732,0.010177433,0.022623063,0.003232343
23*,0.083690256,0.019708405,0.014416784,0.022319148,0.002700382
24*,0.04887458,0.022697503,0.0198857,0.022127832,0.003439192
25*,0.047007059,0.022479395,0.01918858,0.021796403,0.004086586
26*,0.079864327,0.017372937,0.011563039,0.023294241,0.001387281
27*,0.017001135,0.007449632,0.006342224,0.024715318,0.001548631
28*,0.051162842,0.008703325,0.007978895,0.023911086,0.001198118
29*,0.018944592,0.006278675,0.009555047,0.02301584,0.001715037
3*,0.01925587,0.004946357,0.031676934,0.03136004,0.001604704
30*,0.015282411,0.005880754,0.007731632,0.020397979,0.001124603
31*,0.083519349,0.021464941,0.011928095,0.023077577,0.000997527
32*,0.021081256,0.009279972,0.007802315,0.026411732,0.001586828
33*,0.077585908,0.016500313,0.013309188,0.023005213,0.00147012
34*,0.031745429,0.012941434,0.010794382,0.021779736,0.001607602
35*,0.015332382,0.006104819,0.006995734,0.019549074,0.001108082
36*,0.05961412,0.009332064,0.013956518,0.022842788,0.001933754
37*,0.017379575,0.006670987,0.011438748,0.022515732,0.003152761
38*,0.065266703,0.013048755,0.013372833,0.020923411,0.001834365
39*,0.040675184,0.018159265,0.013854846,0.02267625,0.001814386
4*,0.014329271,0.002572551,0.025329975,0.021230089,0.001565978
40*,0.027264617,0.012590993,0.01192786,0.021519138,0.001137289
41*,0.045851801,0.014513182,0.028702632,0.024265387,0.001606462
42*,0.029071631,0.010439917,0.022635193,0.03551773,0.001577651
43*,0.033883849,0.005629336,0.027610462,0.037265051,0.001636026
44*,0.032958542,0.006102696,0.025536399,0.023932578,0.001713757
45*,0.014782084,0.003796738,0.023191218,0.023433371,0.001724083
46*,0.0213422,0.004157416,0.018146532,0.021045272,0.001641939
47*,0.026797221,0.005871239,0.016877259,0.030586506,0.00190954
48*,0.033181514,0.005084225,0.016841673,0.031389605,0.002005558
49*,0.043395896,0.006737349,0.021543871,0.022342953,0.002041794
5*,0.018860173,0.004829242,0.025219775,0.024162572,0.002049639
50*,0.028945066,0.009685285,0.017478344,0.019608479,0.001039621
51*,0.060545111,0.020577739,0.024090394,0.019961726,0.001322674
52*,0.063042622,0.022436118,0.025868342,0.031471852,0.001404329
53*,0.0365507,0.008508838,0.018764533,0.036668225,0.001152984
54*,0.040815139,0.0069789,0.024368609,0.020424142,0.001023405
55*,0.019588067,0.005467373,0.021088582,0.019126481,0.000784038
56*,0.008983805,0.002445537,0.013965879,0.020416378,0.001522109
57*,0.00909216,0.002599479,0.013143168,0.029005571,0.001363712
58*,0.016326449,0.003397132,0.014686513,0.031465647,0.002086911
59*,0.017472476,0.003773788,0.016381025,0.020731115,0.00178744
6*,0.030328809,0.005783535,0.018926355,0.033887096,0.002184871
60*,0.028537861,0.009093705,0.022442286,0.018863575,0.00238495
61*,0.084509406,0.014622197,0.011694791,0.013452686,0.002023804
62*,0.083678823,0.019747084,0.012483,0.023323987,0.002163887
63*,0.058321615,0.011124106,0.012401034,0.023100023,0.002292882
64*,0.076975462,0.015399949,0.013493481,0.022388382,0.003009676
65*,0.033608125,0.014281107,0.013442457,0.022030509,0.00300934
66*,0.065859503,0.013912015,0.01099241,0.017263095,0.001614756
67*,0.071214368,0.01418715,0.010657781,0.022333193,0.00162285
68*,0.04631652,0.010865452,0.008438559,0.022543712,0.001382812
69*,0.030635924,0.00685113,0.007862556,0.022910322,0.001338032
7*,0.027771931,0.004326884,0.016668366,0.027311066,0.002016877
70*,0.014813629,0.005748399,0.008483929,0.020580684,0.001044178
71*,0.062345313,0.013080268,0.010153467,0.025408136,0.001144644
72*,0.087788077,0.015131444,0.012723141,0.021421971,0.00168915
73*,0.050210126,0.008474929,0.008887785,0.024984391,0.001314855
74*,0.027968024,0.005996304,0.006373961,0.021892473,0.000929109
75*,0.015255703,0.006359921,0.009236971,0.020142879,0.001207308
76*,0.035301935,0.008400639,0.009838481,0.027374381,0.001321393
77*,0.050500148,0.00959508,0.011229174,0.020409407,0.001346904
78*,0.03669143,0.007564028,0.008600177,0.022024557,0.001133895
79*,0.053827962,0.009736233,0.010659255,0.024276144,0.001558921
8*,0.037761873,0.009590173,0.021215891,0.028469657,0.002101246
80*,0.024309017,0.010945588,0.010702968,0.020974863,0.001082927
9*,0.040346713,0.006598465,0.022348864,0.020085402,0.002209571
