SampleID,horizon,PL,CT
1,O,1,0
2,O,0.75,0.25
3,O,0.5,0.5
4,O,0.25,0.75
5,O,0,1
6,O,1,0
7,O,0.75,0.25
8,O,0.5,0.5
9,O,0.25,0.75
10,O,0,1
11,O,1,0
12,O,0.75,0.25
13,O,0.5,0.5
14,O,0.25,0.75
15,O,0,1
16,O,1,0
17,O,0.75,0.25
18,O,0.5,0.5
19,O,0.25,0.75
20,O,0,1
21,A,1,0
22,A,0.75,0.25
23,A,0.5,0.5
24,A,0.25,0.75
25,A,0,1
26,A,1,0
27,A,0.75,0.25
28,A,0.5,0.5
29,A,0.25,0.75
30,A,0,1
31,A,1,0
32,A,0.75,0.25
33,A,0.5,0.5
34,A,0.25,0.75
35,A,0,1
36,A,1,0
37,A,0.75,0.25
38,A,0.5,0.5
39,A,0.25,0.75
40,A,0,1
